Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,03.	 Get All Todolist of User and Company: 	 0,26.	 Check-in for each user in each company: 	 0,26.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,24.	 Check-in for each user in each company: 	 0,48.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,09.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0.	 Check-in for each user in each company: 	 0.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,45.	 Check-in for each user in each company: 	 0,39.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,19.	 Check-in for each user in each company: 	 0,21.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,38.	 Check-in for each user in each company: 	 0,41.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,42.	 Check-in for each user in each company: 	 0,39.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,05.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,03.	 Get All Todolist of User and Company: 	 0,17.	 Check-in for each user in each company: 	 0,14.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,03.	 Check-in for each user in each company: 	 0,03.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,05.	 Get All Todolist of User and Company: 	 0,82.	 Check-in for each user in each company: 	 0,31.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,06.	 Check-in for each user in each company: 	 0,06.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,09.	 Get All Todolist of User and Company: 	 3,43.	 Check-in for each user in each company: 	 0,8.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,11.	 Check-in for each user in each company: 	 0,12.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,02.	 Check-in for each user in each company: 	 0,02.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,07.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,08.	 Check-in for each user in each company: 	 0,08.	
Test start! Get Company: 	 0,02.	 Get All User By Company: 	 0,02.	 Get All Todolist of User and Company: 	 0,07.	 Check-in for each user in each company: 	 0,06.	
